臺灣頻道,#genre#
台視,http://173.82.57.77:8890/fhtv.php?id=27
台視,http://173.82.57.77:8890/fhtv.php?id=326
台視新聞,http://173.82.57.77:8890/fhtv.php?id=1
台視綜合,http://173.82.57.77:8890/fhtv.php?id=309
台視財經,http://173.82.57.77:8890/fhtv.php?id=300
民視,http://173.82.57.77:8890/fhtv.php?id=26
民視,http://173.82.57.77:8890/fhtv.php?id=336
民視新聞台,http://173.82.57.77:8890/fhtv.php?id=13
民視綜藝,http://173.82.57.77:8890/fhtv.php?id=98
民視第一台,http://173.82.57.77:8890/fhtv.php?id=34
民視臺灣台,http://173.82.57.77:8890/fhtv.php?id=36
民視影劇,http://173.82.57.77:8890/fhtv.php?id=1023
民視旅遊,http://173.82.57.77:8890/fhtv.php?id=78
華視,http://173.82.57.77:8890/fhtv.php?id=32
華視,http://173.82.57.77:8890/fhtv.php?id=327
華視資訊,http://173.82.57.77:8890/fhtv.php?id=6
華納電影,http://173.82.57.77:8890/fhtv.php?id=83
華藝綜合台,http://173.82.57.77:8890/fhtv.php?id=310
中視,http://173.82.57.77:8890/fhtv.php?id=333
中視經典,http://173.82.57.77:8890/fhtv.php?id=185
中視新聞,http://173.82.57.77:8890/fhtv.php?id=7
中視新聞,http://173.82.57.77:8890/fhtv.php?id=28
中視菁采,http://173.82.57.77:8890/fhtv.php?id=74
中天新聞,http://173.82.57.77:8890/fhtv.php?id=3
中天綜合,http://173.82.57.77:8890/fhtv.php?id=54
中天娛樂,http://173.82.57.77:8890/fhtv.php?id=324
中天綜合,http://173.82.57.77:8890/fhtv.php?id=325
中天亞洲台,http://173.82.57.77:8890/fhtv.php?id=322
公視,http://173.82.57.77:8890/fhtv.php?id=86
公視,http://173.82.57.77:8890/fhtv.php?id=59
公視,http://173.82.57.77:8890/fhtv.php?id=361
公視戲劇,http://173.82.57.77:8890/fhtv.php?id=69
八大精彩台,http://173.82.57.77:8890/fhtv.php?id=1024
八大綜合台,http://173.82.57.77:8890/fhtv.php?id=90
八大戲劇台,http://173.82.57.77:8890/fhtv.php?id=81
東森幼幼,http://173.82.57.77:8890/fhtv.php?id=371
東森綜合台,http://173.82.57.77:8890/fhtv.php?id=372
龍祥時代,http://173.82.57.77:8890/fhtv.php?id=373
東森新聞,http://173.82.57.77:8890/fhtv.php?id=9
東森新聞,http://173.82.57.77:8890/fhtv.php?id=12
東森超視,http://173.82.57.77:8890/fhtv.php?id=80
東森戲劇,http://173.82.57.77:8890/fhtv.php?id=321
東森電影,http://173.82.57.77:8890/fhtv.php?id=350
東森洋片,http://173.82.57.77:8890/fhtv.php?id=1128
東森購物1,http://173.82.57.77:8890/fhtv.php?id=1155
東森購物2,http://173.82.57.77:8890/fhtv.php?id=1156
龍華經典,http://173.82.57.77:8890/fhtv.php?id=364
龍華戲劇,http://173.82.57.77:8890/fhtv.php?id=365
