寰宇台,#genre#
History,http://173.82.57.77:8890/fhtv.php?id=116
國家地理,http://173.82.57.77:8890/fhtv.php?id=302
國家野生,http://173.82.57.77:8890/fhtv.php?id=1038
探索亞洲,http://173.82.57.77:8890/fhtv.php?id=306
探索頻道,http://173.82.57.77:8890/fhtv.php?id=1035
探索科學,http://173.82.57.77:8890/fhtv.php?id=343
探索EVE,http://173.82.57.77:8890/fhtv.php?id=1036
動物星球1,http://173.82.57.77:8890/fhtv.php?id=367
動物星球2,http://173.82.57.77:8890/fhtv.php?id=368
BBC earth,http://173.82.57.77:8890/fhtv.php?id=97
BBC lifestyle,http://173.82.57.77:8890/fhtv.php?id=424
亞洲旅遊,http://173.82.57.77:8890/fhtv.php?id=77
CinemaWorld,http://173.82.57.77:8890/fhtv.php?id=84
爆笑頻道,http://173.82.57.77:8890/fhtv.php?id=85
Love Nature,http://173.82.57.77:8890/fhtv.php?id=388
光影歐洲,http://173.82.57.77:8890/fhtv.php?id=1157

日本台,#genre#
緯來日本,http://173.82.57.77:8890/fhtv.php?id=46
緯來日本,http://173.82.57.77:8890/fhtv.php?id=337
國興衛視,http://173.82.57.77:8890/fhtv.php?id=65
國興衛視,http://173.82.57.77:8890/fhtv.php?id=105

綜合台,#genre#
台視,http://173.82.57.77:8890/fhtv.php?id=27
台視,http://173.82.57.77:8890/fhtv.php?id=326
民視,http://173.82.57.77:8890/fhtv.php?id=26
民視,http://173.82.57.77:8890/fhtv.php?id=336
華視,http://173.82.57.77:8890/fhtv.php?id=32
華視,http://173.82.57.77:8890/fhtv.php?id=327
中視,http://173.82.57.77:8890/fhtv.php?id=333
公視,http://173.82.57.77:8890/fhtv.php?id=86
公視,http://173.82.57.77:8890/fhtv.php?id=59
公視,http://173.82.57.77:8890/fhtv.php?id=361
中天綜合,http://173.82.57.77:8890/fhtv.php?id=54
中天綜合,http://173.82.57.77:8890/fhtv.php?id=325
中天娛樂,http://173.82.57.77:8890/fhtv.php?id=324
中天亞洲台,http://173.82.57.77:8890/fhtv.php?id=322
八大綜合台,http://173.82.57.77:8890/fhtv.php?id=90
東森綜合台,http://173.82.57.77:8890/fhtv.php?id=372
東森超視,http://173.82.57.77:8890/fhtv.php?id=80
TVBS歡樂台,http://173.82.57.77:8890/fhtv.php?id=40
三立都會台,http://173.82.57.77:8890/fhtv.php?id=38
寰宇綜合,http://173.82.57.77:8890/fhtv.php?id=190
壹綜合,http://173.82.57.77:8890/fhtv.php?id=305
JET綜合,http://173.82.57.77:8890/fhtv.php?id=41

新聞台,#genre#
台視新聞,http://173.82.57.77:8890/fhtv.php?id=1
台視財經,http://173.82.57.77:8890/fhtv.php?id=300
民視新聞台,http://173.82.57.77:8890/fhtv.php?id=13
中視新聞,http://173.82.57.77:8890/fhtv.php?id=7
中視新聞,http://173.82.57.77:8890/fhtv.php?id=28
中天新聞,http://173.82.57.77:8890/fhtv.php?id=3
東森新聞,http://173.82.57.77:8890/fhtv.php?id=9
東森新聞,http://173.82.57.77:8890/fhtv.php?id=12
TVBS,http://173.82.57.77:8890/fhtv.php?id=16
TVBS,http://173.82.57.77:8890/fhtv.php?id=88
三立LIVE新聞,http://173.82.57.77:8890/fhtv.php?id=4
寰宇新聞台,http://173.82.57.77:8890/fhtv.php?id=304
寰宇新聞臺灣台,http://173.82.57.77:8890/fhtv.php?id=87
寰宇財經台,http://173.82.57.77:8890/fhtv.php?id=320
壹新聞,http://173.82.57.77:8890/fhtv.php?id=303
年代新聞,http://173.82.57.77:8890/fhtv.php?id=236
非凡新聞,http://173.82.57.77:8890/fhtv.php?id=314

電影台,#genre#
華納電影,http://173.82.57.77:8890/fhtv.php?id=83
東森電影,http://173.82.57.77:8890/fhtv.php?id=350
東森洋片,http://173.82.57.77:8890/fhtv.php?id=1128
緯來電影,http://173.82.57.77:8890/fhtv.php?id=96
好萊塢電影,http://173.82.57.77:8890/fhtv.php?id=37
AMC最愛電影,http://173.82.57.77:8890/fhtv.php?id=92
CATCHPLAY電影台,http://173.82.57.77:8890/fhtv.php?id=362
衛視西片,http://173.82.57.77:8890/fhtv.php?id=369
CI罪案偵查,http://173.82.57.77:8890/fhtv.php?id=1159
AXN亞洲,http://173.82.57.77:8890/fhtv.php?id=1066
FOX,http://173.82.57.77:8890/fhtv.php?id=384
FOX ACTION,http://173.82.57.77:8890/fhtv.php?id=385
FOX CRIME,http://173.82.57.77:8890/fhtv.php?id=386
衛視電影,http://173.82.57.77:8890/fhtv.php?id=93
星衛電影,http://173.82.57.77:8890/fhtv.php?id=496

動畫台,#genre#
東森幼幼,http://173.82.57.77:8890/fhtv.php?id=371
Nick兒童,http://173.82.57.77:8890/fhtv.php?id=50
Boomerang,http://173.82.57.77:8890/fhtv.php?id=57
MOMO親子台,http://173.82.57.77:8890/fhtv.php?id=1149
MOMO親子台,http://173.82.57.77:8890/fhtv.php?id=1126
CN卡通頻道,http://173.82.57.77:8890/fhtv.php?id=107
愛放,http://173.82.57.77:8890/fhtv.php?id=1127
愛放2,http://173.82.57.77:8890/fhtv.php?id=299
愛放3,http://173.82.57.77:8890/fhtv.php?id=259
Cartoon,http://173.82.57.77:8890/fhtv.php?id=48
